名称,カテゴリー,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
レジディア南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築16年,11階建,8階,2K,37.1m2,10.9万円,5000円,10.9万円,-,https://suumo.jp/chintai/jnc_000070409647/?bc=100266762596
レジディア南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築16年,11階建,8階,2LDK,55.08m2,16.7万円,10000円,16.7万円,16.7万円,https://suumo.jp/chintai/jnc_000073200490/?bc=100276955247
レジディア南千住,0,東京メトロ日比谷線/南千住駅 歩9分,築16年,11階建,7階,2LDK,55.08m2,17.3万円,10000円,17.3万円,17.3万円,https://suumo.jp/chintai/jnc_000072772552/?bc=100274604298
レジディア南千住,0,ＪＲ常磐線/南千住駅 歩9分,築16年,11階建,8階,2K,37.1m2,10.9万円,5000円,10.9万円,-,https://suumo.jp/chintai/jnc_000070409647/?bc=100266762596
レジディア南千住,0,ＪＲ常磐線/南千住駅 歩9分,築16年,11階建,8階,2LDK,55.08m2,16.7万円,10000円,16.7万円,16.7万円,https://suumo.jp/chintai/jnc_000073200490/?bc=100276955247
レジディア南千住,0,ＪＲ常磐線/南千住駅 歩9分,築16年,11階建,7階,2LDK,55.08m2,17.3万円,10000円,17.3万円,17.3万円,https://suumo.jp/chintai/jnc_000072772552/?bc=100274604298
レジディア南千住,0,東武伊勢崎線/鐘ヶ淵駅 歩19分,築16年,11階建,8階,2K,37.1m2,10.9万円,5000円,10.9万円,-,https://suumo.jp/chintai/jnc_000070409647/?bc=100266762596
レジディア南千住,0,東武伊勢崎線/鐘ヶ淵駅 歩19分,築16年,11階建,8階,2LDK,55.08m2,16.7万円,10000円,16.7万円,16.7万円,https://suumo.jp/chintai/jnc_000073200490/?bc=100276955247
レジディア南千住,0,東武伊勢崎線/鐘ヶ淵駅 歩19分,築16年,11階建,7階,2LDK,55.08m2,17.3万円,10000円,17.3万円,17.3万円,https://suumo.jp/chintai/jnc_000072772552/?bc=100274604298
ニューシティアパートメンツ三ノ輪,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276209662
ニューシティアパートメンツ三ノ輪,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100274435285
ニューシティアパートメンツ三ノ輪,0,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276209662
ニューシティアパートメンツ三ノ輪,0,ＪＲ常磐線/三河島駅 歩10分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100274435285
ニューシティアパートメンツ三ノ輪,0,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276209662
ニューシティアパートメンツ三ノ輪,0,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100274435285
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000073172896/?bc=100276602479
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069221107/?bc=100275735320
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000073063309/?bc=100276602418
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/三ノ輪駅 歩7分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815906/?bc=100276851515
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,ＪＲ常磐線/三河島駅 歩15分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000073172896/?bc=100276602479
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,ＪＲ常磐線/三河島駅 歩15分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069221107/?bc=100275735320
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,ＪＲ常磐線/三河島駅 歩15分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000073063309/?bc=100276602418
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,ＪＲ常磐線/三河島駅 歩15分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815906/?bc=100276851515
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/入谷駅 歩16分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000073172896/?bc=100276602479
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/入谷駅 歩16分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069221107/?bc=100275735320
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/入谷駅 歩16分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000073063309/?bc=100276602418
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,0,東京メトロ日比谷線/入谷駅 歩16分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815906/?bc=100276851515
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.5万円,10000円,11.5万円,11.5万円,https://suumo.jp/chintai/jnc_000073214908/?bc=100273146487
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000073126775/?bc=100276779297
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000072537938/?bc=100273934093
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.5万円,10000円,12.5万円,12.5万円,https://suumo.jp/chintai/jnc_000073221912/?bc=100272758812
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.8万円,10000円,12.8万円,12.8万円,https://suumo.jp/chintai/jnc_000072537939/?bc=100276578210
プライムアーバン町屋サウスコート,0,ＪＲ常磐線/三河島駅 歩5分,築22年,地下1地上12階建,9階,2LDK,59.68m2,16万円,10000円,16万円,16万円,https://suumo.jp/chintai/jnc_000073042948/?bc=100275861464
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.5万円,10000円,11.5万円,11.5万円,https://suumo.jp/chintai/jnc_000073214908/?bc=100273146487
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000073126775/?bc=100276779297
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000072537938/?bc=100273934093
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.5万円,10000円,12.5万円,12.5万円,https://suumo.jp/chintai/jnc_000073221912/?bc=100272758812
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.8万円,10000円,12.8万円,12.8万円,https://suumo.jp/chintai/jnc_000072537939/?bc=100276578210
プライムアーバン町屋サウスコート,0,京成本線/新三河島駅 歩6分,築22年,地下1地上12階建,9階,2LDK,59.68m2,16万円,10000円,16万円,16万円,https://suumo.jp/chintai/jnc_000073042948/?bc=100275861464
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.5万円,10000円,11.5万円,11.5万円,https://suumo.jp/chintai/jnc_000073214908/?bc=100273146487
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000073126775/?bc=100276779297
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,6階,1LDK,42.19m2,11.8万円,10000円,11.8万円,11.8万円,https://suumo.jp/chintai/jnc_000072537938/?bc=100273934093
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.5万円,10000円,12.5万円,12.5万円,https://suumo.jp/chintai/jnc_000073221912/?bc=100272758812
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,9階,1LDK,39.58m2,12.8万円,10000円,12.8万円,12.8万円,https://suumo.jp/chintai/jnc_000072537939/?bc=100276578210
プライムアーバン町屋サウスコート,0,都電荒川線/荒川二丁目駅 歩10分,築22年,地下1地上12階建,9階,2LDK,59.68m2,16万円,10000円,16万円,16万円,https://suumo.jp/chintai/jnc_000073042948/?bc=100275861464
ルミナス　西日暮里,0,京成本線/新三河島駅 歩4分,築2年,10階建,5階,2LDK,52.54m2,16.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073278265/?bc=100277252563
ルミナス　西日暮里,0,京成本線/新三河島駅 歩4分,築2年,10階建,5階,2LDK,52.54m2,18.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073284819/?bc=100277248214
ルミナス　西日暮里,0,東京メトロ千代田線/町屋駅 歩7分,築2年,10階建,5階,2LDK,52.54m2,16.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073278265/?bc=100277252563
ルミナス　西日暮里,0,東京メトロ千代田線/町屋駅 歩7分,築2年,10階建,5階,2LDK,52.54m2,18.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073284819/?bc=100277248214
ルミナス　西日暮里,0,ＪＲ山手線/西日暮里駅 歩10分,築2年,10階建,5階,2LDK,52.54m2,16.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073278265/?bc=100277252563
ルミナス　西日暮里,0,ＪＲ山手線/西日暮里駅 歩10分,築2年,10階建,5階,2LDK,52.54m2,18.5万円,15000円,-,-,https://suumo.jp/chintai/jnc_000073284819/?bc=100277248214
