名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815904/?bc=100274520854
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,38.24m2,13.6万円,7000円,-,13.6万円,https://suumo.jp/chintai/jnc_000069187713/?bc=100262416529
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,4階,1LDK,41.55m2,13.5万円,10000円,-,13.5万円,https://suumo.jp/chintai/jnc_000072815903/?bc=100276265549
ニューシティアパートメンツ三ノ輪,0,東京都荒川区東日暮里２,ＪＲ山手線/上野駅 歩26分,築17年,8階建,6階,1LDK,41.55m2,13.6万円,10000円,-,13.6万円,https://suumo.jp/chintai/jnc_000072815905/?bc=100209682453
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,2階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000072786148/?bc=100276267102
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,3階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000073106132/?bc=100256244233
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,2階,1LDK,47.76m2,13.6万円,8500円,13.6万円,13.6万円,https://suumo.jp/chintai/jnc_000072916767/?bc=100275094360
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,7階,1LDK,47.62m2,14.5万円,8500円,14.5万円,14.5万円,https://suumo.jp/chintai/jnc_000073117631/?bc=100275094346
アルページュ,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築8年,8階建,7階,1LDK,47.62m2,14.6万円,8500円,14.6万円,14.6万円,https://suumo.jp/chintai/jnc_000073117632/?bc=100276329031
アルページュ,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩11分,築8年,8階建,2階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000072786148/?bc=100276267102
アルページュ,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩11分,築8年,8階建,3階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000073106132/?bc=100256244233
アルページュ,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩11分,築8年,8階建,2階,1LDK,47.76m2,13.6万円,8500円,13.6万円,13.6万円,https://suumo.jp/chintai/jnc_000072916767/?bc=100275094360
アルページュ,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩11分,築8年,8階建,7階,1LDK,47.62m2,14.5万円,8500円,14.5万円,14.5万円,https://suumo.jp/chintai/jnc_000073117631/?bc=100275094346
アルページュ,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩11分,築8年,8階建,7階,1LDK,47.62m2,14.6万円,8500円,14.6万円,14.6万円,https://suumo.jp/chintai/jnc_000073117632/?bc=100276329031
アルページュ,0,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩7分,築8年,8階建,2階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000072786148/?bc=100276267102
アルページュ,0,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩7分,築8年,8階建,3階,1LDK,47.76m2,13.5万円,8500円,13.5万円,13.5万円,https://suumo.jp/chintai/jnc_000073106132/?bc=100256244233
アルページュ,0,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩7分,築8年,8階建,2階,1LDK,47.76m2,13.6万円,8500円,13.6万円,13.6万円,https://suumo.jp/chintai/jnc_000072916767/?bc=100275094360
アルページュ,0,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩7分,築8年,8階建,7階,1LDK,47.62m2,14.5万円,8500円,14.5万円,14.5万円,https://suumo.jp/chintai/jnc_000073117631/?bc=100275094346
アルページュ,0,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩7分,築8年,8階建,7階,1LDK,47.62m2,14.6万円,8500円,14.6万円,14.6万円,https://suumo.jp/chintai/jnc_000073117632/?bc=100276329031
