名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
グランカミーユ江北,0,東京都足立区江北２,日暮里・舎人ライナー/扇大橋駅 歩14分,新築,8階建,6階,1LDK,41.31m2,10万円,10000円,10万円,10万円,https://suumo.jp/chintai/jnc_000071795723/?bc=100275929994
グランカミーユ江北,0,東京都足立区江北２,日暮里・舎人ライナー/扇大橋駅 歩14分,新築,8階建,4階,1LDK,41.31m2,10万円,10000円,10万円,10万円,https://suumo.jp/chintai/jnc_000071795727/?bc=100275088619
グランカミーユ江北,0,東京都足立区江北２,日暮里・舎人ライナー/扇大橋駅 歩14分,新築,8階建,7階,1LDK,41.31m2,10.1万円,10000円,10.1万円,10.1万円,https://suumo.jp/chintai/jnc_000070574637/?bc=100268310857
イルトラッツォ千住,1,東京都荒川区南千住６,東京メトロ日比谷線/南千住駅 歩7分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053733786/?bc=100276349174
イルトラッツォ千住,1,東京都荒川区南千住６,東京メトロ日比谷線/三ノ輪駅 歩8分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053733786/?bc=100276349174
イルトラッツォ千住,1,東京都荒川区南千住６,京成本線/千住大橋駅 歩13分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053733786/?bc=100276349174
ＪＲ常磐線 南千住駅 3階建 築8年,1,東京都荒川区南千住６,ＪＲ常磐線/南千住駅 歩7分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053769371/?bc=100276382126
ＪＲ常磐線 南千住駅 3階建 築8年,1,東京都荒川区南千住６,ＪＲ山手線/鶯谷駅 歩27分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053769371/?bc=100276382126
ＪＲ常磐線 南千住駅 3階建 築8年,1,東京都荒川区南千住６,東京メトロ日比谷線/三ノ輪駅 歩8分,築8年,3階建,1階,ワンルーム,12m2,5.1万円,4000円,-,-,https://suumo.jp/chintai/jnc_000053769371/?bc=100276382126
87ハウス,1,東京都荒川区荒川５,京成本線/新三河島駅 歩3分,築14年,3階建,3階,1K,14.68m2,6.3万円,3000円,-,-,https://suumo.jp/chintai/jnc_000062627112/?bc=100276254184
87ハウス,1,東京都荒川区荒川５,ＪＲ山手線/西日暮里駅 歩11分,築14年,3階建,3階,1K,14.68m2,6.3万円,3000円,-,-,https://suumo.jp/chintai/jnc_000062627112/?bc=100276254184
87ハウス,1,東京都荒川区荒川５,ＪＲ常磐線/三河島駅 歩11分,築14年,3階建,3階,1K,14.68m2,6.3万円,3000円,-,-,https://suumo.jp/chintai/jnc_000062627112/?bc=100276254184
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築4年,5階建,4階,ワンルーム,25.11m2,8.5万円,5000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073126786/?bc=100270861467
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩9分,築4年,5階建,4階,1K,25.11m2,9万円,5000円,9万円,-,https://suumo.jp/chintai/jnc_000072648351/?bc=100269207502
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築4年,5階建,4階,ワンルーム,25.11m2,8.5万円,5000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073126786/?bc=100270861467
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,ＪＲ常磐線/三河島駅 歩10分,築4年,5階建,4階,1K,25.11m2,9万円,5000円,9万円,-,https://suumo.jp/chintai/jnc_000072648351/?bc=100269207502
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,ＪＲ山手線/日暮里駅 歩15分,築4年,5階建,4階,ワンルーム,25.11m2,8.5万円,5000円,8.5万円,-,https://suumo.jp/chintai/jnc_000073126786/?bc=100270861467
ココキューブ日暮里公園,0,東京都荒川区東日暮里２,ＪＲ山手線/日暮里駅 歩15分,築4年,5階建,4階,1K,25.11m2,9万円,5000円,9万円,-,https://suumo.jp/chintai/jnc_000072648351/?bc=100269207502
チェントロチッタ,1,東京都足立区伊興本町１,東武伊勢崎線/竹ノ塚駅 歩10分,築24年,2階建,2階,2LDK,65m2,9.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000058808629/?bc=100276415018
チェントロチッタ,1,東京都足立区伊興本町１,日暮里・舎人ライナー/舎人公園駅 歩24分,築24年,2階建,2階,2LDK,65m2,9.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000058808629/?bc=100276415018
チェントロチッタ,1,東京都足立区伊興本町１,日暮里・舎人ライナー/舎人駅 歩27分,築24年,2階建,2階,2LDK,65m2,9.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000058808629/?bc=100276415018
Ａレガート田端,1,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩12分,築15年,4階建,2階,1K,23.89m2,7.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000013492789/?bc=100274882243
Ａレガート田端,1,東京都荒川区東尾久４,日暮里・舎人ライナー/赤土小学校前駅 歩2分,築15年,4階建,2階,1K,23.89m2,7.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000013492789/?bc=100274882243
Ａレガート田端,1,東京都荒川区東尾久４,都電荒川線/熊野前駅 歩9分,築15年,4階建,2階,1K,23.89m2,7.5万円,2000円,-,-,https://suumo.jp/chintai/jnc_000013492789/?bc=100274882243
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩10分,築13年,5階建,3階,3LDK,72.25m2,25.5万円,15000円,25.5万円,51万円,https://suumo.jp/chintai/jnc_000073121978/?bc=100276382198
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩10分,築13年,5階建,2階,3LDK,75.66m2,26万円,15000円,26万円,52万円,https://suumo.jp/chintai/jnc_000045228442/?bc=100276382194
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急東横線/都立大学駅 歩18分,築13年,5階建,3階,3LDK,72.25m2,25.5万円,15000円,25.5万円,51万円,https://suumo.jp/chintai/jnc_000073121978/?bc=100276382198
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急東横線/都立大学駅 歩18分,築13年,5階建,2階,3LDK,75.66m2,26万円,15000円,26万円,52万円,https://suumo.jp/chintai/jnc_000045228442/?bc=100276382194
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急目黒線/西小山駅 歩20分,築13年,5階建,3階,3LDK,72.25m2,25.5万円,15000円,25.5万円,51万円,https://suumo.jp/chintai/jnc_000073121978/?bc=100276382198
ソアラノーム碑文谷,0,東京都目黒区碑文谷２,東急目黒線/西小山駅 歩20分,築13年,5階建,2階,3LDK,75.66m2,26万円,15000円,26万円,52万円,https://suumo.jp/chintai/jnc_000045228442/?bc=100276382194
西葛西パーク・ホームズ,0,東京都江戸川区西葛西２,東京メトロ東西線/西葛西駅 歩11分,築35年,5階建,1階,3LDK,69.97m2,12.5万円,12000円,12.5万円,-,https://suumo.jp/chintai/jnc_000073132965/?bc=100276358530
西葛西パーク・ホームズ,0,東京都江戸川区西葛西２,都営新宿線/船堀駅 バス10分 (バス停)西葛西三丁目 歩7分,築35年,5階建,1階,3LDK,69.97m2,12.5万円,12000円,12.5万円,-,https://suumo.jp/chintai/jnc_000073132965/?bc=100276358530
西葛西パーク・ホームズ,0,東京都江戸川区西葛西２,東京メトロ東西線/葛西駅 車9分(3.0km),築35年,5階建,1階,3LDK,69.97m2,12.5万円,12000円,12.5万円,-,https://suumo.jp/chintai/jnc_000073132965/?bc=100276358530
Ｆｏｒｅｔ　Ｆｏｎｔａｉｎｅ,0,東京都目黒区祐天寺１,東急東横線/祐天寺駅 歩6分,築1年,3階建,1階,1LDK,37.54m2,16万円,5000円,8万円,8万円,https://suumo.jp/chintai/jnc_000072602417/?bc=100251889222
Ｆｏｒｅｔ　Ｆｏｎｔａｉｎｅ,0,東京都目黒区祐天寺１,東京メトロ日比谷線/中目黒駅 歩10分,築1年,3階建,1階,1LDK,37.54m2,16万円,5000円,8万円,8万円,https://suumo.jp/chintai/jnc_000072602417/?bc=100251889222
Ｆｏｒｅｔ　Ｆｏｎｔａｉｎｅ,0,東京都目黒区祐天寺１,東急東横線/中目黒駅 歩10分,築1年,3階建,1階,1LDK,37.54m2,16万円,5000円,8万円,8万円,https://suumo.jp/chintai/jnc_000072602417/?bc=100251889222
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築6年,9階建,5階,1K,25.47m2,9.95万円,10000円,-,9.95万円,https://suumo.jp/chintai/jnc_000071695005/?bc=100268826808
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築6年,9階建,6階,1K,25.47m2,10万円,10000円,-,10万円,https://suumo.jp/chintai/jnc_000071695006/?bc=100268760308
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築6年,9階建,6階,1LDK,40.34m2,15.5万円,10000円,-,15.5万円,https://suumo.jp/chintai/jnc_000030724994/?bc=100270523290
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築6年,9階建,7階,1LDK,40.34m2,15万円,20000円,-,-,https://suumo.jp/chintai/jnc_000053853109/?bc=100252545907
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築6年,9階建,5階,1K,25.47m2,9.95万円,10000円,-,9.95万円,https://suumo.jp/chintai/jnc_000071695005/?bc=100268826808
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築6年,9階建,6階,1K,25.47m2,10万円,10000円,-,10万円,https://suumo.jp/chintai/jnc_000071695006/?bc=100268760308
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築6年,9階建,6階,1LDK,40.34m2,15.5万円,10000円,-,15.5万円,https://suumo.jp/chintai/jnc_000030724994/?bc=100270523290
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築6年,9階建,7階,1LDK,40.34m2,15万円,20000円,-,-,https://suumo.jp/chintai/jnc_000053853109/?bc=100252545907
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,築6年,9階建,5階,1K,25.47m2,9.95万円,10000円,-,9.95万円,https://suumo.jp/chintai/jnc_000071695005/?bc=100268826808
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,築6年,9階建,6階,1K,25.47m2,10万円,10000円,-,10万円,https://suumo.jp/chintai/jnc_000071695006/?bc=100268760308
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,築6年,9階建,6階,1LDK,40.34m2,15.5万円,10000円,-,15.5万円,https://suumo.jp/chintai/jnc_000030724994/?bc=100270523290
ハーモニーレジデンス秋葉原,0,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,築6年,9階建,7階,1LDK,40.34m2,15万円,20000円,-,-,https://suumo.jp/chintai/jnc_000053853109/?bc=100252545907
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,4階,1LDK,60.2m2,22.3万円,15000円,22.3万円,22.3万円,https://suumo.jp/chintai/jnc_000072014123/?bc=100270442715
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,5階,1LDK,60.2m2,22.4万円,15000円,22.4万円,22.4万円,https://suumo.jp/chintai/jnc_000072014126/?bc=100270442710
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,6階,1LDK,60.2m2,22.5万円,15000円,22.5万円,22.5万円,https://suumo.jp/chintai/jnc_000072014129/?bc=100270442316
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,7階,1LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000072014132/?bc=100275583502
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,7階,2LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000073006264/?bc=100275586098
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,8階,1LDK,60.2m2,22.9万円,15000円,22.9万円,22.9万円,https://suumo.jp/chintai/jnc_000072014135/?bc=100270442766
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,4階,2LDK,69.95m2,26.1万円,15000円,26.1万円,39.15万円,https://suumo.jp/chintai/jnc_000072014124/?bc=100270442366
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072014127/?bc=100270442370
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072929050/?bc=100275174397
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,6階,2LDK,69.95m2,26.3万円,15000円,26.3万円,39.45万円,https://suumo.jp/chintai/jnc_000072014130/?bc=100270442419
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,7階,2LDK,69.95m2,26.4万円,15000円,26.4万円,39.6万円,https://suumo.jp/chintai/jnc_000072014133/?bc=100270442755
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,8階,2LDK,69.95m2,26.6万円,15000円,26.6万円,39.9万円,https://suumo.jp/chintai/jnc_000072014136/?bc=100270875038
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,4階,3LDK,75.39m2,28.7万円,15000円,28.7万円,43.05万円,https://suumo.jp/chintai/jnc_000072014125/?bc=100270442859
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,5階,3LDK,75.39m2,28.8万円,15000円,28.8万円,43.2万円,https://suumo.jp/chintai/jnc_000072014128/?bc=100270875443
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,6階,3LDK,75.39m2,28.9万円,15000円,28.9万円,43.35万円,https://suumo.jp/chintai/jnc_000072014131/?bc=100270442840
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,7階,3LDK,75.39m2,29万円,15000円,29万円,43.5万円,https://suumo.jp/chintai/jnc_000072014134/?bc=100270442357
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩5分,新築,8階建,8階,3LDK,75.39m2,29.2万円,15000円,29.2万円,43.8万円,https://suumo.jp/chintai/jnc_000072014137/?bc=100270442853
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,4階,1LDK,60.2m2,22.3万円,15000円,22.3万円,22.3万円,https://suumo.jp/chintai/jnc_000072014123/?bc=100270442715
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,5階,1LDK,60.2m2,22.4万円,15000円,22.4万円,22.4万円,https://suumo.jp/chintai/jnc_000072014126/?bc=100270442710
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,6階,1LDK,60.2m2,22.5万円,15000円,22.5万円,22.5万円,https://suumo.jp/chintai/jnc_000072014129/?bc=100270442316
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,7階,1LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000072014132/?bc=100275583502
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,7階,2LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000073006264/?bc=100275586098
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,8階,1LDK,60.2m2,22.9万円,15000円,22.9万円,22.9万円,https://suumo.jp/chintai/jnc_000072014135/?bc=100270442766
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,4階,2LDK,69.95m2,26.1万円,15000円,26.1万円,39.15万円,https://suumo.jp/chintai/jnc_000072014124/?bc=100270442366
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072014127/?bc=100270442370
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072929050/?bc=100275174397
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,6階,2LDK,69.95m2,26.3万円,15000円,26.3万円,39.45万円,https://suumo.jp/chintai/jnc_000072014130/?bc=100270442419
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,7階,2LDK,69.95m2,26.4万円,15000円,26.4万円,39.6万円,https://suumo.jp/chintai/jnc_000072014133/?bc=100270442755
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,8階,2LDK,69.95m2,26.6万円,15000円,26.6万円,39.9万円,https://suumo.jp/chintai/jnc_000072014136/?bc=100270875038
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,4階,3LDK,75.39m2,28.7万円,15000円,28.7万円,43.05万円,https://suumo.jp/chintai/jnc_000072014125/?bc=100270442859
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,5階,3LDK,75.39m2,28.8万円,15000円,28.8万円,43.2万円,https://suumo.jp/chintai/jnc_000072014128/?bc=100270875443
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,6階,3LDK,75.39m2,28.9万円,15000円,28.9万円,43.35万円,https://suumo.jp/chintai/jnc_000072014131/?bc=100270442840
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,7階,3LDK,75.39m2,29万円,15000円,29万円,43.5万円,https://suumo.jp/chintai/jnc_000072014134/?bc=100270442357
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ東西線/茅場町駅 歩7分,新築,8階建,8階,3LDK,75.39m2,29.2万円,15000円,29.2万円,43.8万円,https://suumo.jp/chintai/jnc_000072014137/?bc=100270442853
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,4階,1LDK,60.2m2,22.3万円,15000円,22.3万円,22.3万円,https://suumo.jp/chintai/jnc_000072014123/?bc=100270442715
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,5階,1LDK,60.2m2,22.4万円,15000円,22.4万円,22.4万円,https://suumo.jp/chintai/jnc_000072014126/?bc=100270442710
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,6階,1LDK,60.2m2,22.5万円,15000円,22.5万円,22.5万円,https://suumo.jp/chintai/jnc_000072014129/?bc=100270442316
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,7階,1LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000072014132/?bc=100275583502
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,7階,2LDK,60.2m2,22.6万円,15000円,22.6万円,22.6万円,https://suumo.jp/chintai/jnc_000073006264/?bc=100275586098
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,8階,1LDK,60.2m2,22.9万円,15000円,22.9万円,22.9万円,https://suumo.jp/chintai/jnc_000072014135/?bc=100270442766
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,4階,2LDK,69.95m2,26.1万円,15000円,26.1万円,39.15万円,https://suumo.jp/chintai/jnc_000072014124/?bc=100270442366
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072014127/?bc=100270442370
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,5階,2LDK,69.95m2,26.2万円,15000円,26.2万円,39.3万円,https://suumo.jp/chintai/jnc_000072929050/?bc=100275174397
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,6階,2LDK,69.95m2,26.3万円,15000円,26.3万円,39.45万円,https://suumo.jp/chintai/jnc_000072014130/?bc=100270442419
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,7階,2LDK,69.95m2,26.4万円,15000円,26.4万円,39.6万円,https://suumo.jp/chintai/jnc_000072014133/?bc=100270442755
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,8階,2LDK,69.95m2,26.6万円,15000円,26.6万円,39.9万円,https://suumo.jp/chintai/jnc_000072014136/?bc=100270875038
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,4階,3LDK,75.39m2,28.7万円,15000円,28.7万円,43.05万円,https://suumo.jp/chintai/jnc_000072014125/?bc=100270442859
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,5階,3LDK,75.39m2,28.8万円,15000円,28.8万円,43.2万円,https://suumo.jp/chintai/jnc_000072014128/?bc=100270875443
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,6階,3LDK,75.39m2,28.9万円,15000円,28.9万円,43.35万円,https://suumo.jp/chintai/jnc_000072014131/?bc=100270442840
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,7階,3LDK,75.39m2,29万円,15000円,29万円,43.5万円,https://suumo.jp/chintai/jnc_000072014134/?bc=100270442357
TKB高尾稲荷,0,東京都中央区日本橋箱崎町,東京メトロ日比谷線/八丁堀駅 歩12分,新築,8階建,8階,3LDK,75.39m2,29.2万円,15000円,29.2万円,43.8万円,https://suumo.jp/chintai/jnc_000072014137/?bc=100270442853
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000072885548/?bc=100272494824
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000073022824/?bc=100275700074
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,4階,1LDK,41.2m2,14.4万円,10000円,14.4万円,14.4万円,https://suumo.jp/chintai/jnc_000072885549/?bc=100272417312
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,3階,1LDK,41.2m2,15.4万円,10000円,15.4万円,15.4万円,https://suumo.jp/chintai/jnc_000072379812/?bc=100272396312
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,3階,1LDK,42.84m2,15.5万円,10000円,15.5万円,15.5万円,https://suumo.jp/chintai/jnc_000072379811/?bc=100065485591
ポラリス,0,東京都中央区日本橋浜町３,都営新宿線/浜町駅 歩6分,築18年,7階建,4階,1LDK,41.2m2,15.5万円,10000円,15.5万円,15.5万円,https://suumo.jp/chintai/jnc_000072393210/?bc=100272724819
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000072885548/?bc=100272494824
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000073022824/?bc=100275700074
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,4階,1LDK,41.2m2,14.4万円,10000円,14.4万円,14.4万円,https://suumo.jp/chintai/jnc_000072885549/?bc=100272417312
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,3階,1LDK,41.2m2,15.4万円,10000円,15.4万円,15.4万円,https://suumo.jp/chintai/jnc_000072379812/?bc=100272396312
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,3階,1LDK,42.84m2,15.5万円,10000円,15.5万円,15.5万円,https://suumo.jp/chintai/jnc_000072379811/?bc=100065485591
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩7分,築18年,7階建,4階,1LDK,41.2m2,15.5万円,10000円,15.5万円,15.5万円,https://suumo.jp/chintai/jnc_000072393210/?bc=100272724819
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ日比谷線/人形町駅 歩12分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000072885548/?bc=100272494824
ポラリス,0,東京都中央区日本橋浜町３,東京メトロ日比谷線/人形町駅 歩12分,築18年,7階建,3階,1LDK,41.2m2,14.3万円,10000円,14.3万円,14.3万円,https://suumo.jp/chintai/jnc_000073022824/?bc=100275700074
