名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費,敷金,礼金,URL
アルページュ,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩8分,築8年,8階建,7階,1LDK,47.62m2,14.6万円,8500円,14.6万円,14.6万円,https://suumo.jp/chintai/jnc_000073117632/?bc=100276329031
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,ＪＲ常磐線/南千住駅 歩5分,築9年,7階建,2階,1K,25.05m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000061635355/?bc=100272381923
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,ＪＲ常磐線/南千住駅 歩5分,築9年,7階建,7階,1K,25.05m2,8.8万円,8000円,8.8万円,8.8万円,https://suumo.jp/chintai/jnc_000057258272/?bc=100239365184
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,ＪＲ常磐線/南千住駅 歩5分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073122260/?bc=100276400890
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,ＪＲ常磐線/南千住駅 歩5分,築9年,7階建,5階,1DK,30.18m2,10万円,8000円,10万円,10万円,https://suumo.jp/chintai/jnc_000072686556/?bc=100274330644
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩11分,築9年,7階建,2階,1K,25.05m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000061635355/?bc=100272381923
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩11分,築9年,7階建,7階,1K,25.05m2,8.8万円,8000円,8.8万円,8.8万円,https://suumo.jp/chintai/jnc_000057258272/?bc=100239365184
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩11分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073122260/?bc=100276400890
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩11分,築9年,7階建,5階,1DK,30.18m2,10万円,8000円,10万円,10万円,https://suumo.jp/chintai/jnc_000072686556/?bc=100274330644
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,京成本線/千住大橋駅 歩15分,築9年,7階建,2階,1K,25.05m2,8.2万円,8000円,8.2万円,8.2万円,https://suumo.jp/chintai/jnc_000061635355/?bc=100272381923
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,京成本線/千住大橋駅 歩15分,築9年,7階建,7階,1K,25.05m2,8.8万円,8000円,8.8万円,8.8万円,https://suumo.jp/chintai/jnc_000057258272/?bc=100239365184
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,京成本線/千住大橋駅 歩15分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073122260/?bc=100276400890
ラヴィエント南千住II,賃貸マンション,東京都荒川区南千住５,京成本線/千住大橋駅 歩15分,築9年,7階建,5階,1DK,30.18m2,10万円,8000円,10万円,10万円,https://suumo.jp/chintai/jnc_000072686556/?bc=100274330644
ＪＲ常磐線 南千住駅 7階建 築9年,賃貸マンション,東京都荒川区南千住５,ＪＲ常磐線/南千住駅 歩5分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073126790/?bc=100276333842
ＪＲ常磐線 南千住駅 7階建 築9年,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩10分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073126790/?bc=100276333842
ＪＲ常磐線 南千住駅 7階建 築9年,賃貸マンション,東京都荒川区南千住５,京成本線/千住大橋駅 歩16分,築9年,7階建,5階,1DK,29.14m2,9.4万円,8000円,9.4万円,9.4万円,https://suumo.jp/chintai/jnc_000073126790/?bc=100276333842
コスモ柴又駅前,賃貸マンション,東京都葛飾区柴又４,京成金町線/柴又駅 歩1分,築28年,8階建,1階,3LDK,62.05m2,9.8万円,17000円,9.8万円,9.8万円,https://suumo.jp/chintai/jnc_000073076763/?bc=100276011140
コスモ柴又駅前,賃貸マンション,東京都葛飾区柴又４,北総線/新柴又駅 歩10分,築28年,8階建,1階,3LDK,62.05m2,9.8万円,17000円,9.8万円,9.8万円,https://suumo.jp/chintai/jnc_000073076763/?bc=100276011140
コスモ柴又駅前,賃貸マンション,東京都葛飾区柴又４,北総線/京成高砂駅 歩16分,築28年,8階建,1階,3LDK,62.05m2,9.8万円,17000円,9.8万円,9.8万円,https://suumo.jp/chintai/jnc_000073076763/?bc=100276011140
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,東京メトロ千代田線/町屋駅 歩6分,築2年,5階建,1階,1K,25.33m2,8.8万円,10000円,-,-,https://suumo.jp/chintai/jnc_000069240039/?bc=100273063586
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,東京メトロ千代田線/町屋駅 歩6分,築2年,5階建,5階,1DK,33.93m2,12.7万円,10000円,-,-,https://suumo.jp/chintai/jnc_000072610320/?bc=100273762868
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,京成本線/新三河島駅 歩9分,築2年,5階建,1階,1K,25.33m2,8.8万円,10000円,-,-,https://suumo.jp/chintai/jnc_000069240039/?bc=100273063586
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,京成本線/新三河島駅 歩9分,築2年,5階建,5階,1DK,33.93m2,12.7万円,10000円,-,-,https://suumo.jp/chintai/jnc_000072610320/?bc=100273762868
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,ＪＲ常磐線/三河島駅 歩10分,築2年,5階建,1階,1K,25.33m2,8.8万円,10000円,-,-,https://suumo.jp/chintai/jnc_000069240039/?bc=100273063586
レピュア町屋レジデンス,賃貸マンション,東京都荒川区荒川４,ＪＲ常磐線/三河島駅 歩10分,築2年,5階建,5階,1DK,33.93m2,12.7万円,10000円,-,-,https://suumo.jp/chintai/jnc_000072610320/?bc=100273762868
ＪＲ山手線 西日暮里駅 7階建 築7年,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩6分,築7年,7階建,5階,1K,25.2m2,9.8万円,8000円,-,9.8万円,https://suumo.jp/chintai/jnc_000063578939/?bc=100276269253
ＪＲ山手線 西日暮里駅 7階建 築7年,賃貸マンション,東京都荒川区西日暮里２,ＪＲ京浜東北線/日暮里駅 歩6分,築7年,7階建,5階,1K,25.2m2,9.8万円,8000円,-,9.8万円,https://suumo.jp/chintai/jnc_000063578939/?bc=100276269253
ＪＲ山手線 西日暮里駅 7階建 築7年,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築7年,7階建,5階,1K,25.2m2,9.8万円,8000円,-,9.8万円,https://suumo.jp/chintai/jnc_000063578939/?bc=100276269253
メゾンサンセール,賃貸マンション,東京都江戸川区北小岩５,京成本線/京成小岩駅 歩8分,築21年,4階建,2階,2LDK,57.5m2,10.5万円,8000円,10.5万円,-,https://suumo.jp/chintai/jnc_000073138730/?bc=100276400911
メゾンサンセール,賃貸マンション,東京都江戸川区北小岩５,京成本線/江戸川駅 歩10分,築21年,4階建,2階,2LDK,57.5m2,10.5万円,8000円,10.5万円,-,https://suumo.jp/chintai/jnc_000073138730/?bc=100276400911
メゾンサンセール,賃貸マンション,東京都江戸川区北小岩５,ＪＲ総武線/小岩駅 歩18分,築21年,4階建,2階,2LDK,57.5m2,10.5万円,8000円,10.5万円,-,https://suumo.jp/chintai/jnc_000073138730/?bc=100276400911
Felice,賃貸マンション,東京都葛飾区立石６,京成押上線/京成立石駅 歩6分,築5年,4階建,1階,1LDK,48.13m2,10.5万円,5000円,15.75万円,15.75万円,https://suumo.jp/chintai/jnc_000073138703/?bc=100276407380
Felice,賃貸マンション,東京都葛飾区立石６,京成押上線/青砥駅 歩9分,築5年,4階建,1階,1LDK,48.13m2,10.5万円,5000円,15.75万円,15.75万円,https://suumo.jp/chintai/jnc_000073138703/?bc=100276407380
Felice,賃貸マンション,東京都葛飾区立石６,京成本線/お花茶屋駅 歩17分,築5年,4階建,1階,1LDK,48.13m2,10.5万円,5000円,15.75万円,15.75万円,https://suumo.jp/chintai/jnc_000073138703/?bc=100276407380
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩7分,築3年,9階建,5階,1K,30.38m2,10.8万円,7000円,10.8万円,10.8万円,https://suumo.jp/chintai/jnc_000064836299/?bc=100243295949
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩7分,築3年,9階建,7階,1K,30.38m2,11万円,7000円,11万円,11万円,https://suumo.jp/chintai/jnc_000064836300/?bc=100276351748
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/日暮里駅 歩13分,築3年,9階建,5階,1K,30.38m2,10.8万円,7000円,10.8万円,10.8万円,https://suumo.jp/chintai/jnc_000064836299/?bc=100243295949
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/日暮里駅 歩13分,築3年,9階建,7階,1K,30.38m2,11万円,7000円,11万円,11万円,https://suumo.jp/chintai/jnc_000064836300/?bc=100276351748
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ常磐線/三河島駅 歩10分,築3年,9階建,5階,1K,30.38m2,10.8万円,7000円,10.8万円,10.8万円,https://suumo.jp/chintai/jnc_000064836299/?bc=100243295949
ＪＲ山手線 鶯谷駅 9階建 築3年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ常磐線/三河島駅 歩10分,築3年,9階建,7階,1K,30.38m2,11万円,7000円,11万円,11万円,https://suumo.jp/chintai/jnc_000064836300/?bc=100276351748
京成金町線 柴又駅 2階建 築3年,賃貸アパート,東京都葛飾区柴又３,京成金町線/柴又駅 歩11分,築3年,2階建,2階,2LDK,58.87m2,11.5万円,4000円,23万円,17.25万円,https://suumo.jp/chintai/jnc_000073126979/?bc=100276337916
京成金町線 柴又駅 2階建 築3年,賃貸アパート,東京都葛飾区柴又３,ＪＲ常磐線/金町駅 歩15分,築3年,2階建,2階,2LDK,58.87m2,11.5万円,4000円,23万円,17.25万円,https://suumo.jp/chintai/jnc_000073126979/?bc=100276337916
京成金町線 柴又駅 2階建 築3年,賃貸アパート,東京都葛飾区柴又３,京成本線/京成高砂駅 歩17分,築3年,2階建,2階,2LDK,58.87m2,11.5万円,4000円,23万円,17.25万円,https://suumo.jp/chintai/jnc_000073126979/?bc=100276337916
HF東尾久レジデンス,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/熊野前駅 歩3分,新築,6階建,3階,1DK,25.55m2,8.4万円,8000円,8.4万円,8.4万円,https://suumo.jp/chintai/jnc_000071516171/?bc=100273902317
HF東尾久レジデンス,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/熊野前駅 歩3分,新築,6階建,2階,1DK,25.55m2,8.4万円,8000円,8.4万円,8.4万円,https://suumo.jp/chintai/jnc_000071516167/?bc=100267043641
HF東尾久レジデンス,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/熊野前駅 歩3分,新築,6階建,2階,1DK,25.55m2,8.4万円,8000円,8.4万円,8.4万円,https://suumo.jp/chintai/jnc_000071516164/?bc=100266100972
